ProcedureName,CaseType,NumberOfCases
Laparoscopic Subtotal Gastrectomy (Roux En y Reconstruction),Elective,2
Laparoscopic Suture of Ulcer of Duodenum Nec,Emergency,1
Laparoscopy - General,Elective,22
Laparoscopy - General,Emergency,63
Laparoscopy - Gynae,Elective,131
Laparoscopy - Gynae,Emergency,46
Laparoscopy (Paeds),Elective,13
Laparoscopy (Paeds),Emergency,3
Laparoscopy and Biopsy (Organ),Elective,2
Laparoscopy and Dye,Elective,1
Laparoscopy for Staging,Elective,37
Laparotomy,Elective,147
Laparotomy,Emergency,224
Laparotomy,Unknown,2
Laparotomy Gynae,Elective,4
Laparotomy Gynae,Emergency,7
Large Loop Excision of Transformation Zone,Elective,9
Laryngectomy Total,Elective,14
Laryngectomy Total,Emergency,2
Laryngoscopy and Biopsy,Elective,2
Laryngoscopy and Biopsy,Unknown,1
Laser Photocoagulation of Retina for Detachment,Elective,1
Laser Stapedotomy Vein Graft,Elective,3
Laser to Lesion Eyelid,Elective,2
Laser to Lesion Mouth,Elective,3
Laser to Lesion Nose,Elective,2
Laser to Lesion of Lip,Elective,5
Laser to Lesion Palate,Elective,3
Laser to Lesion Skin,Elective,6
Laser to Lesion Skin of Head or Neck,Elective,17
Laser to Lesion Vulva,Elective,1
Laser to Ureteric Lesion Endoscopic,Elective,1
Lash Follicle Trephination,Elective,4
Lateral Column Lengthening of Foot,Elective,3
Lateral Intercostal Artery Perforator Flap (Licap),Elective,1
Laying Open of Anal Fistula,Elective,5
Laying Open Peri-Anal Fistula,Elective,2
Laying Open Peri-Anal Fistula,Emergency,1
Laying Open Pilonidal Sinus,Emergency,2
Lcs Plus Tarso Conjunctival Diamond,Elective,2
Le Fort Procedure (Colpocleisis),Elective,1
Left Hemicolectomy,Emergency,1
Left Hemicolectomy and Anastomosis,Elective,1
Left Hemicolectomy and Colostomy,Emergency,1
Left Hemicolectomy Laparoscopic,Elective,2
Legion Total Knee Replacement,Elective,5
Lengthening of Muscle,Elective,1
Lengthening Tendon,Elective,13
Ligation Av Fistula,Elective,4
Ligation Av Fistula,Emergency,2
Ligation Long Saphenous Vein,Elective,1
Ligation of Artery,Emergency,1
Ligation of Artery,Unknown,1
Ligation Parotid Duct,Elective,1
Ligation Patent Processus Vaginalis (Ppv),Elective,23
Ligation Sphenopalatine Artery,Elective,1
Ligation Sphenopalatine Artery,Emergency,6
Ligation Thoracic Duct,Elective,1
Ligation Varicocele Inguinal,Elective,8
Ligation Varicocele Scrotal,Elective,1
Ligation Varicose Vein of Leg (Unspecified),Elective,1
Ligation Vein,Elective,1
Lignocaine Infusion,Elective,9
Lipofilling of Breast,Elective,16
Lipofilling of Subcutaneous Tissue,Elective,8
Liposuction,Elective,7
Lithopaxy Laser,Elective,12
Lithotripsy - Renal Calculus <2Cm - Extracorporeal Shockwave,Elective,476
Lithotripsy - Renal Calculus >2Cm - Extracorporeal Shockwave,Elective,2
Lobectomy Lower,Elective,9
Lobectomy Lower Thoracoscopic,Elective,31
Lobectomy Middle,Elective,2
Lobectomy Middle Thoracoscopic,Elective,9
Lobectomy Upper,Elective,12
Lobectomy Upper,Emergency,1
Lobectomy Upper Thoracoscopic,Elective,28
Lobectomy Upper Thoracoscopic,Emergency,1
Local Flap of Skin,Elective,2
Local Flap of Skin,Emergency,1
Local Flap of Skin Head or Neck,Elective,2
Loop Colostomy,Elective,1
Loop Colostomy,Emergency,2
Looposcopy,Elective,7
Looposcopy,Emergency,1
Lord's Plication of Hydrocele,Elective,2
Low Anterior Resection Laparoscopic,Elective,14
Low Anterior Resection Laparoscopic,Emergency,2
Lower Eyelid Lamella Split,Elective,2
Lumbar Puncture Diagnostic,Elective,1
Lumbar Puncture Diagnostic,Emergency,4
Lumbar Sympathectomy (Phenol),Elective,1
Lumbar Sympathetic Block (La) Diagnostic/Therapeutic,Elective,1
Lunate Replacement,Elective,1
Lymphadenectomy,Elective,1
M.U.A. Joint,Elective,1
M.U.A. Joint,Emergency,4
Macular Hole Repair Inner Limiting Membrane Peel,Elective,3
Magnetic Resonance Image - Nec (Mri),Elective,1
Magnetic Resonance Image - Nec (Mri),Emergency,1
Maia Joint Replacement,Elective,9
Maintenance of Vagal Nerve Stimulator,Elective,6
Mandibular Osteotomy - Advancement,Elective,22
Mandibulectomy Partial,Elective,1
Manipulation Fractured Bone Under Anaesthetic,Elective,25
Manipulation Fractured Bone Under Anaesthetic,Emergency,20
Manipulation Joint,Elective,17
Manipulation Joint,Emergency,12
Manipulation of Jaw - Mandible,Emergency,3
Manipulation of Prosthetic Joint,Elective,4
Manipulation of Prosthetic Joint,Emergency,5
Manual Evacuation of Faeces,Elective,12
Manual Evacuation of Faeces,Emergency,14
Marsupialisation of Lesion Liver,Elective,1
Marsupulisation Bartholins Cyst,Elective,1
Marsupulisation Bartholins Cyst,Emergency,10
Mastectomy,Elective,141
Mastectomy,Emergency,2
Mastectomy Plus Axillary Clearance - Blk Dissect,Elective,49
Mastectomy Plus Axillary Clearance - Blk Dissect,Emergency,1
Mastoidectomy Canal Wall Down,Elective,1
Mastoidectomy Canal Wall Up,Elective,1
Mastoidectomy Cortical,Elective,1
Mastoidectomy Modified Radical,Elective,9
Mastoidectomy Radical,Elective,1
Mastoidectomy Revision,Elective,7
Mastopexy,Elective,1
Matrix Rib Fixation,Elective,3
Matrix Rib Fixation,Emergency,14
Maxillectomy - Extensive,Elective,2
Maxillectomy - Partial,Elective,4
Meatal Dilatation,Elective,4
Meatal Dilatation,Emergency,1
Meatoplasty Urethral Orifice,Elective,4
Meckel's Diverticulectomy,Elective,3
Meckel's Diverticulectomy,Emergency,1
Medial Branch Block,Elective,27
Medial Branch Block Cervical,Elective,44
Medial Branch Block Cervical Bilateral,Elective,2
Medial Branch Block-Lumbar,Elective,176
Medial Branch Block-Lumbar Bilateral,Elective,52
Mediastinoscopy and Biopsy,Elective,14
Mediastinotomy,Emergency,2
Menisectomy Arthroscopic,Elective,2
Microdochectomy,Elective,2
Microlaryngoscopy,Elective,10
Microlaryngoscopy,Emergency,1
Microlaryngoscopy and Biopsy,Elective,38
Microlaryngoscopy and Biopsy,Emergency,1
Microlaryngoscopy and Inj Teflon to Vocal Cords,Elective,2
Microlaryngoscopy and Laser to Lesion,Elective,69
Microlaryngoscopy and Laser to Lesion,Emergency,2
Microlaryngoscopy and Resection Lesion of Larynx,Elective,1
Microlaryngoscopy and Resection Lesion of Larynx,Emergency,1
Middle Meatal Antrostomy - Fess,Elective,4
Minimally Invasive Oesophagectomy,Elective,15
Minimally Invasive Oesophagectomy,Emergency,1
Minimally Invasive Oesophagectomy (Mckeown) 3 Stage,Elective,1
Minimally Invasive Spinal Decompression Plus Fusion,Elective,1
Minimally Invasive Spinal Decompression Plus Fusion,Emergency,2
Mitrofanoff Procedure,Elective,1
Mohs Surgery Head & Neck Area,Elective,12
Mohs Surgery to Lesion of Skin,Elective,7
Myomectomy Open (Uterus),Elective,4
Myringoplasty/Tympanoplasty,Elective,12
Myringotomy,Elective,4
Myringotomy - Insertion of Grommet,Elective,81
Myringotomy - Insertion of T/M Tube,Elective,6
Nasal Cautery (Turbinates),Elective,4
Nasopharygoscopy and Biopsy,Elective,1
Ncir Angiogram Mesenteric Artery,Elective,2
Ncir Angiogram Mesenteric Artery,Emergency,2
Ncir Angioplasty Femoral (Balloon),Elective,12
Ncir Angioplasty Renal,Elective,1
Ncir Aphresis Catheter Insertion,Elective,1
Ncir Arteriography,Elective,1
Ncir Biliary Drainage Insertion Catheter Percutaneous,Elective,4
Ncir Central Line Repositoning,Elective,3
Ncir Cholangiography Percutaneous,Elective,1
Ncir Creation of Permanent Gastrostomy,Elective,3
Ncir Creation of Permanent Gastrostomy,Emergency,2
Ncir Drug Coated Balloon Angioplasty Illiac Artery,Elective,3
Ncir Embolisation Arteriovenous Malformation,Elective,8
Ncir Embolisation Artery - Transluminal,Elective,5
Ncir Embolisation Mesenteric Artery (Iru),Elective,3
Ncir Embolisation of Ovarian Vein,Elective,5
Ncir Embolisation of Testicular Vein,Elective,2
Ncir Embolisation Renal Artery,Elective,3
Ncir Femoral Arteriography Inc Popliteal,Elective,2
Ncir Femoral Arteriography Inc Popliteal,Emergency,1
Ncir Fistulogram,Elective,4
Ncir Fluoro Guided Insertion Venous Access Port,Elective,47
Ncir Fluro Guided Portacath Removal,Elective,11
Ncir Gastrostomy Catheter Replacement,Elective,24
Ncir Iliac Angioplasty (Balloon),Elective,33
Ncir Iliac Arteriography,Elective,2
Ncir Inferior Vena Cava Filter Removal,Elective,3
Ncir Injection Radiocontrast Material Other Specified,Elective,1
Ncir Insertion Central Venous Catheter,Elective,6
Ncir Insertion Iliac Stent (Transluminal),Elective,9
Ncir Insertion Iliac Stent (Transluminal),Emergency,3
Ncir Insertion of Nasojejunal Tube,Elective,2
Ncir Insertion of Tunnelled Venous Catheter,Elective,10
Ncir Insertion Tunnelled Abdominal Drain,Elective,11
Ncir Insertion Tunnelled Abdominal Drain,Emergency,1
Ncir Lithotripsy of Iliac Artery,Elective,1
Ncir Liver Biopsy Transjuglar,Elective,3
Ncir Nephrostomy,Elective,2
Ncir Nephrostomy,Emergency,1
Ncir Nephrostomy Catheter Exchange,Elective,107
Ncir Pc Stent Inferior Mesenteric Artery,Elective,1
Ncir Pc Stent Inferior Mesenteric Artery,Emergency,2
Ncir Percutaneous Arterial Chemo Embolisation,Elective,29
Ncir Percutaneous Transluminal Insertion of Stent Into Femoral Artery,Elective,5
Ncir Percutaneous Trasluminal of Stent Into Iliac Artery,Elective,1
Ncir Picc Line Insertion,Elective,9
Ncir Picc Line Insertion,Emergency,1
Ncir Picc Line Removal,Emergency,1
Ncir Popliteal Angioplasty (Balloon),Elective,107
Ncir Popliteal Angioplasty (Balloon),Emergency,2
Ncir Pta Dialysis Fistula,Elective,10
Ncir Pta Tibial Artery Left,Elective,10
Ncir Pta Tibial Artery Right,Elective,8
Ncir Removal Central Venous Catheter,Elective,1
Ncir Removal Nephrostomy Tube,Elective,1
Ncir Sclerotherapy,Elective,8
Ncir Tibial Angioplasty (Balloon),Elective,12
Ncir Tibial Angioplasty (Balloon),Emergency,1
Ncir Trans Jugular Intrahepatic Portosystemic Shunt (Tips),Elective,2
Ncir Type 2 Endoleak With Coils/Onyx or Glue,Elective,3
Ncir Ultrasound Guided Liver Biopsy,Elective,2
Ncir Ureteric Stent Antegrade Left,Elective,9
Ncir Ureteric Stent Antegrade Right,Elective,2
Ncir Ureteric Stent Retrograde,Elective,30
Ncir Uretertic Stent Retrograde Both,Elective,11
Ncir Us Guided Renal Cyst Ablation Lt,Elective,2
Ncir Uterine Embolisation - Transluminal,Elective,17
Ncir Vangioplasty Subclavian,Elective,1
Ncir Venography,Elective,10
Needling of Bleb,Elective,21
Nephrectomy,Emergency,1
Nephrectomy - Laparoscopic,Elective,17
Nephrectomy Bilateral,Elective,1
Nephrectomy Partial - Laparoscopic,Elective,1
Nephrectomy Partial (Open),Elective,1
Nephrectomy Partial Lower Pole Robot Assisted,Elective,1
Nephrectomy Partial Robot Assisted (Laparoscopic),Elective,91
Nephrectomy Partial Robot Assisted (Open),Elective,1
Nephrectomy Radical (Open),Elective,16
Nephrectomy Radical Robot Assisted (Laparoscopic),Elective,32
Nephrectomy Radical-Laparoscopic,Elective,56
Nephrectomy Radical-Laparoscopic,Emergency,1
Nephrectomy Robot Assisted,Elective,3
Nephrectomy Robot Assisted (Laparoscopic),Elective,1
Nephrectomy Simple,Elective,4
Nephrectomy Simple Robot Assisted,Elective,1
Nephrostomy,Elective,18
Nephrostomy,Emergency,1
Nephroureterectomy - Laparoscopic,Elective,25
Nephroureterectomy Laparoscopic Open Lower End,Elective,8
Nesbitt's Operation,Elective,19
Neurolysis - Peripheral Nerve,Elective,3
Nipple Sparing Mastectomy,Elective,1
Nissen Fundoplication - Laparoscopic,Elective,16
Nissen Fundoplication - Laparoscopic,Emergency,1
Novasure Endometrial Ablation,Elective,2
O.R.I.F Condyle of Mandible,Elective,2
O.R.I.F Condyle of Mandible,Emergency,1
O.R.I.F Scaphoid Using Screws,Elective,9
O.R.I.F Scaphoid Using Screws,Emergency,3
O.R.I.F. of Small Bone Using Screw,Elective,4
O.R.I.F. of Small Bone Using Screw,Emergency,2
Occipital Cervical Decompression and Fusion,Elective,2
Occipital Cervical Decompression and Fusion,Emergency,3
Occlusion Lacrimal Punctum,Elective,1
Ocular Crosslinking Treatment Bilateral,Elective,1
Oesophagectomy 3 Stage (Mckeown),Elective,2
Oesophagectomy Lap Assisted (Ivor Lewis),Elective,12
Oesophagectomy Lap Assisted (Ivor Lewis),Emergency,3
Oesophagoscopy and Biopsy Fibreoptic,Elective,1
Oesophagoscopy and Dilatation Balloon Fibreoptic,Elective,9
Oesophagoscopy and Dilatation Balloon Fibreoptic,Emergency,2
Oesophagoscopy and Dilatation Fibreoptic,Elective,2
Oesophagoscopy and Dilatation Rigid,Elective,3
Oesophagoscopy and Removal Foreign Body Fibreoptic,Emergency,1
Oesophagoscopy Rem F/B Rigid,Emergency,7
Oesophagoscopy Rigid,Elective,5
Oesophagoscopy Rigid,Emergency,4
Oesophagostomy,Emergency,2
On Table Ultrasound,Elective,4
One Stage Insertion of Fixtures for Bone Abchored Hearing Prosthesis,Elective,3
Oophorectomy Laparoscopic Unilateral,Elective,5
Oophorectomy Laparoscopic Unilateral,Emergency,1
Op Abandoned Anaesthetic Problems,Elective,20
Op Abandoned Anaesthetic Problems,Emergency,2
Op Abandoned Other Reason,Elective,10
Op Abandoned Other Reason,Emergency,4
Op Abandoned Surgical Problems,Elective,1
Open Biopsy of Lesion Mediastinum,Elective,1
Open Decortication of Lesion of Lung,Emergency,2
Open Excision of Lesion of Stomach Nec,Elective,1
Open Red Dislocation of Joint,Emergency,2
Open Red Slipped Femoral Epiphysis Upper,Elective,2
Open Red Tibial Plateau With Int Fixation,Elective,1
Open Red Tibial Plateau With Int Fixation,Emergency,4
Open Roux-En-Y Gastric Bypass Stomach to Jejunum,Elective,2
Operation On Penis Other Specified,Elective,2
Operation On Submandibular Duct,Elective,1
Operation Scrotum Other Unspecified,Elective,1
Operation Testis Other Specified,Elective,1
Operation Vagina Other Specified,Elective,1
Operations On Eyebrow - Unspecified,Elective,1
Ophthalmology Procedure for Attention,Elective,19
Opponesplasty,Elective,2
Oral Procedure for Attention,Emergency,1
Orbital Floor Fracture Repair & Muscle/Orb Fat Repositioning & Implant,Elective,1
Orbitotomy,Elective,1
Orchidectomy Inguinal Unilateral,Elective,18
Orchidectomy Other - Unspecified,Emergency,1
Orchidectomy Total Unilateral,Elective,6
Orchidectomy Total Unilateral,Emergency,2
Orchidopexy 1St Stage Unilateral Laparoscopic,Elective,3
Orchidopexy Bilateral,Elective,4
Orchidopexy Bilateral - Scrotal Approach,Elective,2
Orchidopexy One Stage Iunilateral Laparoscopic,Elective,1
Orchidopexy One-Stage Bilateral,Elective,5
Orchidopexy One-Stage Unilateral,Elective,30
Orchidopexy One-Stage Unilateral,Emergency,1
Orchidopexy Second Stage Unilateral Laparoscopic,Elective,5
Orchidopexy Unilateral,Elective,34
Orchidopexy Unilateral,Emergency,3
Orchidopexy Unilateral - Scrotal Approach,Elective,5
Orchidopexy Unilateral Second-Stage,Elective,1
Organ Donation Multiple,Elective,1
Organ Donation Multiple,Emergency,16
Orthopaedic Procedure for Attention,Elective,1
Osteotomy - Os Calsis (Orif),Elective,1
Osteotomy (Orif),Elective,22
Osteotomy 1St Metatarsal Bone (Orif),Elective,1
Osteotomy 1St Metatarsal Bone (Orif),Emergency,1
Osteotomy and Internal Fixation (Orif),Elective,29
Osteotomy Maxilla Low Level - Le Fort 1,Elective,2
Osteotomy Maxilla Low Level - Le Fort 1,Emergency,1
Osteotomy Metarsals - Multiple (Orif),Elective,1
Osteotomy Metarsals - Multiple (Orif),Emergency,1
Osteotomy Tarsal Bone -Midfoot (Orif),Elective,2
Other Arthroscopic Operation - Other Specified,Elective,1
Other Endoscopic Op On Ileum,Elective,1
Other Endoscopy On Prostate Therapeutic,Elective,1
Other Excision of Appendix- Other Specified,Emergency,1
Other Excision of Breast - Other Specified,Elective,6
Other Filtering Op On Iris,Elective,1
Other Fixation of Mandible - Other Specified,Emergency,1
Other Op Abdominal Wall - Anterior - Other Specified,Elective,5
Other Op Anterior Chamber of Eye - Other Specified,Elective,2
Other Op On (Naso)Pharynx (Other Specified),Elective,1
Other Op On Amputation Stump - Other Specified,Elective,1
Other Op On Amputation Stump - Other Specified,Emergency,2
Other Op On Brachial Artery - Open,Elective,1
Other Op On Canthus,Elective,13
Other Op On Conjunctiva - Other Specified,Elective,3
Other Op On Cornea,Elective,4
Other Op On Cornea,Emergency,1
Other Op On Ear External - Other Specified,Elective,2
Other Op On Eyelid - Other Specified,Elective,1
Other Op On Eyelid - Other Specified,Emergency,1
Other Op On Hydrocele Specified,Elective,14
Other Op On Hymen,Elective,2
Other Op On Introitus of Vagina (For Cyst),Elective,1
Other Op On Introitus of Vagina (For Cyst),Unknown,3
Other Op On Lacrimal Apparatus,Elective,4
Other Op On Larynx (Other Specified),Elective,1
Other Op On Lens,Elective,3
Other Op On Ligament - Other Specified,Elective,6
Other Op On Mandible (Other Specified),Elective,2
Other Op On Mandible (Other Specified),Emergency,1
Other Op On Middle Ear,Elective,1
Other Op On Mouth,Elective,25
Other Op On Muscle,Elective,1
Other Op On Muscle of Eye,Elective,1
Other Op On Nail - Other Specified,Elective,1
Other Op On Nail - Other Specified,Emergency,1
Other Op On Nail Bed,Elective,6
Other Op On Nail Bed,Emergency,1
Other Op On Nasal Sinus - Other Specified,Elective,3
Other Op On Nasolacrimal Duct - Other Specified,Elective,1
Other Op On Nose External - Other Specified,Elective,3
Other Op On Nose Internal Other Specified,Elective,6
Other Op On Orbit (Other Specified),Elective,9
Other Op On Rectum Via Anus (Other Specified) Tamis,Elective,2
Other Op On Rectum Via Anus (Other Specified) Tamis,Emergency,1
Other Op On Skin (Other Specified),Elective,2
Other Op On Soft Tissue (Other Specified),Elective,4
Other Op On Subclavian Artery - Open,Emergency,1
Other Op On Submandibular Duct - Open,Elective,1
Other Op On Temporo-Mandibular Joint - Other Specified,Elective,2
Other Op On Tendon - Other Specified,Elective,4
Other Op On Tendon - Other Specified,Emergency,1
Other Op On Thyroid,Elective,1
Other Op On Tongue,Elective,1
Other Op On Tongue,Emergency,1
Other Op On Trachea Open (Other Specified),Elective,4
Other Op On Umbilicus - Other Specified,Elective,1
Other Op On Vitreous Body (Specified),Elective,1
Other Op Peripheral Nerve,Elective,5
Other Op Septum of Nose - Specified,Emergency,1
Other Open Op On Ovary - Other Specified,Emergency,1
Other Operation Endoscopic Unspecified,Elective,1
Other Operation On Lip - Other Specified,Emergency,2
Other Plastic Excision of Skin - Other Specified,Elective,6
Other Plastic Exe Skin of Abdomen,Elective,4
Other Plastic Op On Breast - Other Specified,Elective,2
Other Repair of Eyelid - Other Specified,Elective,1
Other Repair of Vagina,Emergency,1
Other Specified Ureteroscopy Diagnostic,Elective,1
Other Specified Ureteroscopy Diagnostic,Emergency,1
Otis Urethrotomy in Male,Elective,1
Outfracture of Inferior Turbinates,Elective,3
Outpatient Biopsy Endometrium,Unknown,14
Outpatient Biopsy Lesion Uterus,Unknown,7
Outpatient Biopsy of Vulva,Unknown,5
Outpatient Botox Bladder,Elective,40
Outpatient Cervical Polypectomy,Unknown,1
Outpatient Cervical Smear,Unknown,2
Outpatient Check Cystoscopy (Flexible),Elective,14
Outpatient Endoscopic Sub Mucous Fibroid Resection of Uterus Myosure,Unknown,109
Outpatient Excision Lesion Skin,Elective,3
Outpatient Excision Lesion Vulva,Unknown,10
Outpatient Excision of Lipoma,Elective,1
Outpatient Excision Sebaceous Cyst,Unknown,1
Outpatient Hysteroscopy,Elective,4
Outpatient Hysteroscopy,Emergency,3
Outpatient Hysteroscopy,Unknown,881
Outpatient Hysteroscopy and Biopsy Uterus,Unknown,62
Outpatient Insertion Intrauterine Contraceptive Device,Unknown,21
Outpatient Novasure Endometrial Ablation,Unknown,1
Outpatient Removal Intrauterine Contraceptive Device,Unknown,5
Outpatient Resection Fibroid/Polyp Endoscopic,Unknown,21
Outpatient Shave Excision Skin Lesion,Elective,1
Outpatient Surgical Management of Miscarriage,Emergency,1
Outpatient Surgical Management of Miscarriage,Unknown,1
Ovarian Cystectomy,Elective,2
Ovarian Cystectomy,Emergency,2
Ovarian Cystectomy Laparoscopic,Elective,32
Ovarian Cystectomy Laparoscopic,Emergency,5
Overdistension Bladder Endoscopic,Elective,3
Oversewing Perforated Small Bowel,Emergency,1
Paediatric Procedure for Attention,Emergency,3
Pain Procedure for Attention,Elective,1
Pain Procedure for Attention,Emergency,1
Pan Retinal Photocoagulation,Elective,1
Pan Retinal Photocoagulation,Emergency,2
Panendoscopy - Ent (Pharyngoscopy - Laryngoscopy - Oesophagoscopy),Elective,10
Panproctocolectomy and Ileostomy,Elective,2
Panproctocolectomy and Ileostomy Laparoscopic,Elective,2
Panproctocolectomy Laparoscopic,Elective,1
Pantalar Fusion - Trigen Hindfoot Nail,Emergency,3
Parasymphysis Mandible,Emergency,2
Parathyroidectomy,Elective,30
Parathyroidectomy,Emergency,2
Paravertebral Block,Elective,3
Paravertebral Block,Emergency,2
Paravertebral Block,Unknown,1
Parotidectomy - Nec,Elective,19
Parotidectomy - Partial,Elective,11
Parotidectomy - Total,Elective,9
Parotidectomy and Preservation of Facial Nerve,Elective,3
Parotidectomy Partial and Preservation of Facial Nerve,Elective,5
Partial Cystectomy Robotic,Elective,1
Partial Excision of Bone,Elective,1
Partial Excision of Nail,Elective,2
Partial Lobectomy of Lung- Thoracoscopic,Elective,3
Partial Splenectomy,Elective,1
Patella Femoral Surface Replacement,Elective,3
Pedicle Muscle Flap Lattisimus Dorsi,Elective,1
Pedicle Muscle Flap Lattisimus Dorsi,Emergency,1
Penetrating Graft to Cornea,Elective,1
Penetration Keratoplasty,Elective,2
Penetration Keratoplasty,Emergency,1
Percutaneous Endoscopic Gastrostomy (Peg),Elective,2
Percutaneous Endoscopic Gastrostomy (Peg),Emergency,1
Percutaneous Endoscopic Gastrostomy (Peg) Lap Assist,Elective,6
Percutaneous Nephrolithotomy ( No Disintegration ) Pcnl,Elective,2
Percutaneous Nephrolithotomy Plus Fragmentation - Laser,Elective,26
Percutaneous Nephrolithotomy Plus Fragmentation - Laser,Emergency,1
Percutaneous Nephrolithotomy Plus Fragmentation Using Lithoclast,Elective,9
Percutaneous Nephrolithotomy Plus Fragmentation Using Lithoclast,Emergency,1
Percutaneous Transluminal Insertion of Stent Into Vein,Elective,2
Pericardial Window,Elective,1
Pericardial Window,Emergency,2
Perineorraphy Female,Elective,1
Phacoemulsifcation of Lens - No Implant,Elective,7
Phacoemulsifcation of Lens - No Implant - Ga Cases,Elective,1
Phacoemulsification Len Plus Implant Using I Ring Pupil Expander,Elective,4
Phacoemulsification Len Plus Implant Using I Ring Pupil Expander (Ga),Elective,1
Phacoemulsification Len Plus Implant Using Iris Hooks,Elective,11
Phacoemulsification Lens Plus Implant of Lens,Elective,1899
Phacoemulsification Lens Plus Implant of Lens,Emergency,4
Phacoemulsification Lens Plus Implant of Lens - General Anaesthetic,Elective,31
Pharyngoscopy,Elective,4
Pharyngoscopy and Biopsy,Elective,6
Pharyngoscopy and Dilatation,Elective,5
Pinnaplasty,Elective,7
Placement of Doppler Ultrasound Probe Into Microvascular Vessel Anastomo,Elective,1
Plastic Operation On Nose - Other Specified,Elective,1
Plastic Operation On Penis Other,Elective,2
Plastic Procedure for Attention (For Emergency Theatre Use Only),Elective,1
Plastic Procedure for Attention (For Emergency Theatre Use Only),Emergency,12
Pleural Abrasion (Vats),Emergency,3
Plication of Diaphragm Thoracoscopic,Elective,1
Pneumatic Retinopexy,Elective,1
Pneumonectomy,Elective,2
Pollicisation Finger,Elective,1
Polypectomy Aural Middle Ear,Elective,1
Polypectomy Nasal,Elective,4
Polypectomy Nasal (Fess),Elective,37
Popliteal Aneurysm Bypass,Elective,2
Popliteal Aneurysm Bypass,Emergency,1
Posterior Cervical Decompression and Fusion,Elective,9
Posterior Cervical Decompression and Fusion,Emergency,2
Posterior Decompression of Lumbar Spine,Elective,72
Posterior Decompression of Lumbar Spine,Emergency,14
Posterior Decompression of Lumbar Spine and Intertransverse Fusion,Elective,4
Posterior Vitrectomy,Elective,5
Prepuceplasty,Elective,4
Primary Total Prosthetic Replacement of Elbow Joint Using Cement,Elective,8
Probing and Syringing of Eye,Elective,2
Probing of Nasolacrymal Duct,Elective,1
Procedure Not Coded,Elective,1
Proctectomy,Elective,4
Proctectomy - Laparoscopic,Elective,3
Profundoplasty Femoral Artery and Patch Repair,Elective,1
Prostatectomy Laparoscopic - Robot Assisted,Elective,25
Prostatectomy Radical Plus Pelvic Lymphadenectomy,Elective,2
Prostatectomy Radical Robot Assisted (Laparoscopic),Elective,173
Prostatectomy Transurethral (Turp),Elective,44
Prostatectomy Transurethral (Turp),Emergency,1
Prostatectomy Transurethral (Turp) Using Bipolar Diathermy,Elective,6
Prostatectomy Transurethral (Turp) Using Bipolar Diathermy,Emergency,2
Prostatectomy Transurethral Aquablation Therapy,Elective,51
Prostatectomy Transurethral Aquablation Therapy,Emergency,2
Prostatectomy Transurethral Laser (Holep),Elective,151
Prostatectomy Transurethral Laser (Holep),Emergency,1
Prostatic Urethral Lift Implant(Urolift),Elective,34
Prosthetic Replacement of Cervical Intervertebral Disc,Elective,2
Pulsed Radio Frequency Nerve Peripheral,Elective,22
Pulsed Radio Frequency to Spinal Nerve,Elective,36
Punch Biopsy Lesion Skin,Elective,18
Punch Biopsy Lesion Skin Head and Neck,Elective,11
Punctocanaliculoplasty,Elective,11
Pyeloplasty Anderson-Haynes,Elective,5
Pyeloplasty Anderson-Haynes-Laparoscopic,Elective,5
Pyeloplasty Other,Elective,1
Pyeloplasty Robot Assisted,Elective,1
Pyloromyotomy,Emergency,7
Pyloromyotomy Laparoscopic,Emergency,1
Pyrocarbon Finger Joint Replacement (Not Using Cement),Elective,1
Radial Forearm Free Flap Plus Split Skin Graft,Emergency,1
Radical Excision Tumour,Elective,7
Radio Frequency Dorsal Root Ganglion,Elective,1
Radio Frequency to Nerve (Peripheral) Destructive,Elective,3
Radio-Cephalic Av Fistula,Elective,52
Radiofrequency Ablation of Varicose Vein of Leg,Elective,157
Radiofrequency Ablation of Varicose Vein of Leg,Emergency,3
Radiofrequency Ablation of Varicose Vein of Leg Bilateral,Elective,36
Ramstedt's Op ( Pyloromyotomy Open),Emergency,1
Raye Amputation Foot,Elective,1
Raye Amputation Foot,Emergency,2
Reattachment Intraarticular Ligament - Endoscopic,Emergency,1
Re-Bubbling Corneal Dsaek Graft,Elective,14
Re-Bubbling Corneal Dsaek Graft,Emergency,3
Reconstruction Breast Using Diep Flap,Elective,44
Reconstruction Chest Wall - Ot Specified,Elective,3
Reconstruction Cruciate Ligament (Acl),Elective,4
Reconstruction Cruciate Ligament (Acl),Emergency,1
Reconstruction Cruciate Ligament Using Btb (Acl),Elective,152
Reconstruction Cruciate Ligament Using Btb (Acl),Emergency,1
Reconstruction Cruciate Ligament Using Hamstring (Acl),Elective,10
Reconstruction Ear External,Elective,1
Reconstruction Eyelid - Other Specified,Elective,43
Reconstruction Finger,Elective,2
Reconstruction Finger Tip (Graft),Elective,1
Reconstruction Finger Tip (Graft),Emergency,1
Reconstruction Joint -,Elective,4
Reconstruction Mandible,Elective,1
Reconstruction Nipple,Elective,7
Reconstruction Nose,Elective,18
Reconstruction of Ligament,Elective,14
Reconstruction of Ligament,Emergency,1
Reconstruction Patellofemoral Ligament Medial,Elective,14
Reconstruction Pelvis,Emergency,3
Reconstruction Penis,Elective,4
Reconstruction Ulnar-Collateral Ligament,Elective,2
Rectal Washout,Emergency,1
